ogc_fid,lat,lon,rooms,bedrooms,bathrooms,surface_to,surface_co,price,pm2
1,-34.47966385,-58.70303345,2,,2,100,100,120000,1200
2,-34.427624,-58.588504,1,,1,,31,76000,2451.61290322581
3,-34.65371704,-58.79156876,1,,2,58,52,117000,2250
4,-34.65371704,-58.79156876,2,,2,143,67,195000,2910.44776119403
5,-34.54307,-58.4625859,1,,1,44,38,147000,3868.42105263158
6,-34.60152,-58.42435,1,,1,40,37,92294,2494.43243243243
7,-34.60152,-58.42435,1,,1,49,44,115000,2613.63636363636
8,-34.60152,-58.42435,1,,1,40,37,77000,2081.08108108108
9,-34.60152,-58.42435,1,,1,40,37,88900,2402.7027027027
10,-34.60152,-58.42435,1,,1,40,37,88798,2399.94594594595
11,-34.60152,-58.42435,1,,1,49,44,110975,2522.15909090909
12,-34.60152,-58.42435,1,,1,40,37,92943,2511.97297297297
13,-34.60152,-58.42435,1,,1,40,37,99000,2675.67567567568
14,-34.60152,-58.42435,1,,1,40,37,96984,2621.18918918919
15,-34.59463,-58.41412,1,,1,32,30,125000,4166.66666666667
16,-34.5897665,-58.4207279,1,,1,36,33,121600,3684.84848484848
17,-34.5814680907,-58.423723965,3,,2,90,90,285000,3166.66666666667
18,-34.5973304,-58.4216121,1,,1,45,35,150000,4285.71428571429
19,-34.5983416,-58.415985,1,,1,54,48,140000,2916.66666666667
20,-34.5906600908,-58.4312629471,2,,1,40,40,110000,2750
21,-34.596621,-58.412204,1,,1,33,32,110000,3437.5
22,-34.56383896,-58.46506882,,,1,59,41,248200,6053.65853658537
23,-34.6189802,-58.4452531,1,,1,40,36,152732,4242.55555555556
24,-34.6281619,-58.3632052,,,1,55,55,99000,1800
25,-34.626751,-58.371004,5,,,127,127,310000,2440.94488188976
26,-34.6471808,-58.5810857,,,,42,42,69000,1642.85714285714
27,-34.59779,-58.43153,1,,1,36,33,108000,3272.72727272727
28,-34.5900555,-58.4493062,1,,1,38,34,94800,2788.23529411765
29,-34.6150288,-58.362972,4,,2,174,174,1080000,6206.89655172414
30,-34.5820445,-58.4913676,1,,1,32,29,88000,3034.48275862069
31,-34.57223511,-58.47850418,2,,2,75,68,225000,3308.82352941176
32,-34.743667,-58.394684,1,,1,33,33,70000,2121.21212121212
33,-34.64183807,-58.43827438,1,,1,70,70,225000,3214.28571428571
34,-34.6330396,-58.3703257,1,0,1,31,28,85000,3035.71428571429
35,-34.4638516128,-58.9007556925,2,1,1,42,42,65000,1547.61904761905
36,-34.641102,-58.790449,2,1,1,41,41,63000,1536.58536585366
37,-34.641102,-58.790449,2,1,1,41,41,63000,1536.58536585366
38,-34.55393,-58.4597,2,1,1,53,50,185000,3700
39,-34.550903,-58.453725,2,1,1,39,34,140000,4117.64705882353
