fid,id,left,top,right,bottom,row_index,col_index
1,1,-59.056271803,-34.00189209,-59.051271803,-34.00689209,0,0
2,2,-59.056271803,-34.00689209,-59.051271803,-34.01189209,1,0
3,3,-59.056271803,-34.01189209,-59.051271803,-34.01689209,2,0
4,4,-59.056271803,-34.01689209,-59.051271803,-34.02189209,3,0
5,5,-59.056271803,-34.02189209,-59.051271803,-34.02689209,4,0
6,6,-59.056271803,-34.02689209,-59.051271803,-34.03189209,5,0
7,7,-59.056271803,-34.03189209,-59.051271803,-34.03689209,6,0
8,8,-59.056271803,-34.03689209,-59.051271803,-34.04189209,7,0
9,9,-59.056271803,-34.04189209,-59.051271803,-34.04689209,8,0
10,10,-59.056271803,-34.04689209,-59.051271803,-34.05189209,9,0
11,11,-59.056271803,-34.05189209,-59.051271803,-34.05689209,10,0
12,12,-59.056271803,-34.05689209,-59.051271803,-34.06189209,11,0
13,13,-59.056271803,-34.06189209,-59.051271803,-34.06689209,12,0
14,14,-59.056271803,-34.06689209,-59.051271803,-34.07189209,13,0
15,15,-59.056271803,-34.07189209,-59.051271803,-34.07689209,14,0
16,16,-59.056271803,-34.07689209,-59.051271803,-34.08189209,15,0
17,17,-59.056271803,-34.08189209,-59.051271803,-34.08689209,16,0
18,18,-59.056271803,-34.08689209,-59.051271803,-34.09189209,17,0
19,19,-59.056271803,-34.09189209,-59.051271803,-34.09689209,18,0
20,20,-59.056271803,-34.09689209,-59.051271803,-34.10189209,19,0
21,21,-59.056271803,-34.10189209,-59.051271803,-34.10689209,20,0
22,22,-59.056271803,-34.10689209,-59.051271803,-34.11189209,21,0
23,23,-59.056271803,-34.11189209,-59.051271803,-34.11689209,22,0
24,24,-59.056271803,-34.11689209,-59.051271803,-34.12189209,23,0
25,25,-59.056271803,-34.12189209,-59.051271803,-34.12689209,24,0
26,26,-59.056271803,-34.12689209,-59.051271803,-34.13189209,25,0
27,27,-59.056271803,-34.13189209,-59.051271803,-34.13689209,26,0
28,28,-59.056271803,-34.13689209,-59.051271803,-34.14189209,27,0
29,29,-59.056271803,-34.14189209,-59.051271803,-34.14689209,28,0
30,30,-59.056271803,-34.14689209,-59.051271803,-34.15189209,29,0
31,31,-59.056271803,-34.15189209,-59.051271803,-34.15689209,30,0
32,32,-59.056271803,-34.15689209,-59.051271803,-34.16189209,31,0
33,33,-59.056271803,-34.16189209,-59.051271803,-34.16689209,32,0
34,34,-59.056271803,-34.16689209,-59.051271803,-34.17189209,33,0
35,35,-59.056271803,-34.17189209,-59.051271803,-34.17689209,34,0
36,36,-59.056271803,-34.17689209,-59.051271803,-34.18189209,35,0
37,37,-59.056271803,-34.18189209,-59.051271803,-34.18689209,36,0
38,38,-59.056271803,-34.18689209,-59.051271803,-34.19189209,37,0
39,39,-59.056271803,-34.19189209,-59.051271803,-34.19689209,38,0
40,40,-59.056271803,-34.19689209,-59.051271803,-34.20189209,39,0
41,41,-59.056271803,-34.20189209,-59.051271803,-34.20689209,40,0
42,42,-59.056271803,-34.20689209,-59.051271803,-34.21189209,41,0
43,43,-59.056271803,-34.21189209,-59.051271803,-34.21689209,42,0
44,44,-59.056271803,-34.21689209,-59.051271803,-34.22189209,43,0
45,45,-59.056271803,-34.22189209,-59.051271803,-34.22689209,44,0
46,46,-59.056271803,-34.22689209,-59.051271803,-34.23189209,45,0
47,47,-59.056271803,-34.23189209,-59.051271803,-34.23689209,46,0
48,48,-59.056271803,-34.23689209,-59.051271803,-34.24189209,47,0
49,49,-59.056271803,-34.24189209,-59.051271803,-34.24689209,48,0
50,50,-59.056271803,-34.24689209,-59.051271803,-34.25189209,49,0
51,51,-59.056271803,-34.25189209,-59.051271803,-34.25689209,50,0
52,52,-59.056271803,-34.25689209,-59.051271803,-34.26189209,51,0
53,53,-59.056271803,-34.26189209,-59.051271803,-34.26689209,52,0
54,54,-59.056271803,-34.26689209,-59.051271803,-34.27189209,53,0
55,55,-59.056271803,-34.27189209,-59.051271803,-34.27689209,54,0
56,56,-59.056271803,-34.27689209,-59.051271803,-34.28189209,55,0
57,57,-59.056271803,-34.28189209,-59.051271803,-34.28689209,56,0
58,58,-59.056271803,-34.28689209,-59.051271803,-34.29189209,57,0
59,59,-59.056271803,-34.29189209,-59.051271803,-34.29689209,58,0
60,60,-59.056271803,-34.29689209,-59.051271803,-34.30189209,59,0
61,61,-59.056271803,-34.30189209,-59.051271803,-34.30689209,60,0
62,62,-59.056271803,-34.30689209,-59.051271803,-34.31189209,61,0
63,63,-59.056271803,-34.31189209,-59.051271803,-34.31689209,62,0
64,64,-59.056271803,-34.31689209,-59.051271803,-34.32189209,63,0
65,65,-59.056271803,-34.32189209,-59.051271803,-34.32689209,64,0
66,66,-59.056271803,-34.32689209,-59.051271803,-34.33189209,65,0
67,67,-59.056271803,-34.33189209,-59.051271803,-34.33689209,66,0
68,68,-59.056271803,-34.33689209,-59.051271803,-34.34189209,67,0
69,69,-59.056271803,-34.34189209,-59.051271803,-34.34689209,68,0
